drug,term,count
pembrolizumab,MALIGNANT NEOPLASM PROGRESSION,9435
pembrolizumab,DEATH,4728
pembrolizumab,DIARRHOEA,4370
pembrolizumab,FATIGUE,4111
pembrolizumab,OFF LABEL USE,3777
pembrolizumab,PRODUCT USE IN UNAPPROVED INDICATION,3157
pembrolizumab,PYREXIA,3047
pembrolizumab,NAUSEA,2824
pembrolizumab,RASH,2715
pembrolizumab,DECREASED APPETITE,2545
pembrolizumab,HYPERTENSION,2480
pembrolizumab,HYPOTHYROIDISM,2182
pembrolizumab,DRUG INEFFECTIVE,2115
pembrolizumab,ASTHENIA,2114
pembrolizumab,PRODUCT USE ISSUE,2114
pembrolizumab,DYSPNOEA,1942
pembrolizumab,INTERSTITIAL LUNG DISEASE,1911
pembrolizumab,MALAISE,1834
pembrolizumab,ACUTE KIDNEY INJURY,1827
pembrolizumab,ANAEMIA,1820
pembrolizumab,PNEUMONITIS,1788
pembrolizumab,PNEUMONIA,1775
pembrolizumab,VOMITING,1775
pembrolizumab,NEUTROPENIA,1690
pembrolizumab,ARTHRALGIA,1504
pembrolizumab,COLITIS,1483
pembrolizumab,WEIGHT DECREASED,1411
pembrolizumab,THROMBOCYTOPENIA,1359
pembrolizumab,RENAL IMPAIRMENT,1332
pembrolizumab,ADVERSE EVENT,1297
pembrolizumab,PLATELET COUNT DECREASED,1281
pembrolizumab,PRURITUS,1274
pembrolizumab,NEUROPATHY PERIPHERAL,1145
pembrolizumab,ADRENAL INSUFFICIENCY,1139
pembrolizumab,CONSTIPATION,1107
pembrolizumab,HEADACHE,1096
pembrolizumab,FEBRILE NEUTROPENIA,1088
pembrolizumab,PAIN,1088
pembrolizumab,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,1087
pembrolizumab,GENERAL PHYSICAL HEALTH DETERIORATION,1001
pembrolizumab,HEPATIC FUNCTION ABNORMAL,979
pembrolizumab,DISEASE PROGRESSION,969
pembrolizumab,ABDOMINAL PAIN,966
pembrolizumab,PANCYTOPENIA,951
pembrolizumab,BLOOD PRESSURE INCREASED,941
pembrolizumab,DEHYDRATION,937
pembrolizumab,STOMATITIS,922
pembrolizumab,COUGH,896
pembrolizumab,MYOCARDITIS,865
pembrolizumab,HEPATITIS,862
pembrolizumab,PLEURAL EFFUSION,855
pembrolizumab,SEPSIS,855
pembrolizumab,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,842
pembrolizumab,THERAPY PARTIAL RESPONDER,815
pembrolizumab,TUBULOINTERSTITIAL NEPHRITIS,812
pembrolizumab,MYALGIA,794
pembrolizumab,IMMUNE-MEDIATED HEPATIC DISORDER,788
pembrolizumab,DYSPHONIA,771
pembrolizumab,PULMONARY EMBOLISM,766
pembrolizumab,RENAL FAILURE,763
pembrolizumab,HYPOTENSION,740
pembrolizumab,IMMUNE-MEDIATED ENTEROCOLITIS,708
pembrolizumab,PROTEINURIA,696
pembrolizumab,HYPERTHYROIDISM,689
pembrolizumab,ALANINE AMINOTRANSFERASE INCREASED,686
pembrolizumab,DIZZINESS,675
pembrolizumab,MYELOSUPPRESSION,671
pembrolizumab,NEOPLASM PROGRESSION,665
pembrolizumab,RESPIRATORY FAILURE,656
pembrolizumab,BACK PAIN,655
pembrolizumab,CARDIAC FAILURE,639
pembrolizumab,PAIN IN EXTREMITY,638
pembrolizumab,ASPARTATE AMINOTRANSFERASE INCREASED,626
pembrolizumab,NEUTROPHIL COUNT DECREASED,626
pembrolizumab,HYPONATRAEMIA,611
pembrolizumab,URINARY TRACT INFECTION,608
pembrolizumab,CONDITION AGGRAVATED,572
pembrolizumab,TYPE 1 DIABETES MELLITUS,548
