tumor,drug,results
Gastric Adenocarcinoma,pembrolizumab,152
Gastric Adenocarcinoma,osimertinib,5
Gastric Adenocarcinoma,nivolumab,167
Gastric Adenocarcinoma,abemaciclib,0
Gastric Adenocarcinoma,emtansine trastuzumab,12
Gastric Adenocarcinoma,pertuzumab,18
Gastric Adenocarcinoma,panitumumab,15
Gastric Adenocarcinoma,alectinib,5
Gastric Adenocarcinoma,dabrafenib,1
Gastric Adenocarcinoma,niraparib,2
Gastric Adenocarcinoma,trastuzumab,492
Gastric Adenocarcinoma,cabozantinib,9
Gastric Adenocarcinoma,deruxtecan trastuzumab,32
Gastric Adenocarcinoma,ramucirumab,219
Gastric Adenocarcinoma,atezolizumab,33
Gastric Adenocarcinoma,bevacizumab,97
Gastric Adenocarcinoma,olaparib,11
Gastric Adenocarcinoma,trametinib,7
Gastric Adenocarcinoma,ribociclib,1
Gastric Adenocarcinoma,durvalumab,18
Gastric Adenocarcinoma,lenvatinib,10
Gastric Adenocarcinoma,palbociclib,3
Gastric Adenocarcinoma,trifluridine tipiracil,18
Gastric Adenocarcinoma,ipilimumab,22
Gastric Adenocarcinoma,pazopanib,15
Gastric Adenocarcinoma,crizotinib,22
Gastric Adenocarcinoma,trabectedin,0
Gastric Adenocarcinoma,avelumab,13
Gastric Adenocarcinoma,lorlatinib,0
Gastric Adenocarcinoma,enzalutamide,0
Gastric Adenocarcinoma,afatinib,6
Gastric Adenocarcinoma,capecitabine,479
Gastric Adenocarcinoma,cetuximab,45
Gastric Adenocarcinoma,paclitaxel albumin,31
Gastric Adenocarcinoma,aflibercept,1
Gastric Adenocarcinoma,sacituzumab govitecan,1
Gastric Adenocarcinoma,eribulin,1
Gastric Adenocarcinoma,paclitaxel,611
Gastric Adenocarcinoma,sodium chloride,62
Gastric Adenocarcinoma,encorafenib,0
Gastric Adenocarcinoma,everolimus,23
Gastric Adenocarcinoma,vinorelbine,13
Gastric Adenocarcinoma,pemetrexed,16
Gastric Adenocarcinoma,binimetinib,0
Gastric Adenocarcinoma,carboplatin,124
Gastric Adenocarcinoma,abiraterone,0
Gastric Adenocarcinoma,denosumab,4
Gastric Adenocarcinoma,everolimus,23
Gastric Adenocarcinoma,filgrastim,5
Gastric Adenocarcinoma,fluorouracil,2640
Gastric Adenocarcinoma,doxorubicin,578
Gastric Adenocarcinoma,gemcitabine,134
Gastric Adenocarcinoma,regorafenib,8
Gastric Adenocarcinoma,selpercatinib,0
Gastric Adenocarcinoma,remdesivir,0
Gastric Adenocarcinoma,enoxaparin,8
Gastric Adenocarcinoma,irinotecan,369
Gastric Adenocarcinoma,nintedanib,6
Gastric Adenocarcinoma,plerixafor,1
Gastric Adenocarcinoma,alpelisib,1
Gastric Adenocarcinoma,rucaparib,2
Gastric Adenocarcinoma,temozolomide,9
